#99990 lat=-72.012 lon=2.537 elev=1277 name=TROLL_I_ANTARKTIS
#17400 lat=59.4765 lon=10.79 elev=30 name=FV120_RØDSUND
17500 lat=59.4963 lon=11.0133 elev=131 name=FLØTER
3780 lat=59.636 lon=11.0468 elev=144 name=IGSI_I_HOBØL
#17550 lat=59.5177 lon=10.7252 elev=25 name=EV6_SONSVEIEN
#17650 lat=59.6002 lon=10.7395 elev=75 name=EV6_VESTBY
#17830 lat=59.7603 lon=10.8097 elev=60 name=RV156_DALSBEKKEN
17850 lat=59.6605 lon=10.782 elev=89 name=ÅS
17870 lat=59.6667 lon=10.8 elev=120 name=ÅS_-_RUSTADSKOGEN
#17875 lat=59.685 lon=10.8312 elev=91 name=EV18_HOLSTAD
17780 lat=59.8098 lon=10.6325 elev=104 name=BLEKSLITJERN
#17895 lat=59.794 lon=10.76 elev=110 name=EV18_SVARTSKOG
#19430 lat=59.8923 lon=10.5403 elev=3 name=FV618_SANDVIKA
19490 lat=59.9063 lon=10.5162 elev=67 name=GJETTUM
19510 lat=59.94 lon=10.6223 elev=125 name=ØVREVOLL
19610 lat=59.915 lon=10.465 elev=81 name=HORNI
#19660 lat=59.9475 lon=10.3855 elev=250 name=EV16_SOLLIHØGDA
19710 lat=59.8562 lon=10.4345 elev=163 name=ASKER
2650 lat=59.9122 lon=11.58 elev=128 name=AURSKOG_II
#4825 lat=59.942 lon=11.3015 elev=145 name=FV70_KOMPVEIEN
4040 lat=59.7512 lon=11.1532 elev=164 name=ENEBAKK_-_BARBØL
#17640 lat=59.7397 lon=11.0083 elev=130 name=FV155_RÅKEN
4200 lat=59.9708 lon=11.0383 elev=109 name=KJELLER
4260 lat=59.9775 lon=10.9777 elev=143 name=SKEDSMO_-_HELLERUD
#18280 lat=59.9865 lon=10.9287 elev=225 name=RV4_GJELLERÅSEN
4460 lat=60.1173 lon=10.829 elev=170 name=HAKADAL_JERNBANESTASJON
4780 lat=60.2065 lon=11.0802 elev=202 name=GARDERMOEN
4781 lat=60.1883 lon=11.0743 elev=202 name=GARDERMOEN_SØR
4920 lat=60.1268 lon=11.3933 elev=160 name=ÅRNES
